penyakit,diagnosis,gejala_processed,diagnosis_processed
"diare disertai tenesmus, mual, muntah, nyeri disertai distensi abdomen, feses mengandung pus, mukusm dan darah, dehidrasi, penurunan berat badan",Shigolisis Anak,diare serta tenesmus mual muntah nyeri serta distensi abdomen feses kandung pus mukusm darah dehidrasi turun berat badan,shigolisis anak
"muncul luka atau tukak, luka tidak menimbulkan rasa sakit,luka berkembang pada bagian tubuh seperti pada penis, vagina, anus serta dapat muncul di mulut atau bibir, amandel, atau jari",Sifilis Primer,muncul luka tukak luka timbul rasa sakitluka kembang bagi tubuh penis vagina anus muncul mulut bibir amandel jari,sifilis primer
"spasme dan peningkatan tonus otot dekat luka, sulitnya mengunyah dan menelan makanan akibat dari kejang otot, kejang otot pada daerah yang terkena luka",Tetanus Lokal,spasme tingkat tonus otot dekat luka sulit kunyah tel makan akibat kejang otot kejang otot daerah kena luka,tetanus lokal
" Demam, keringat malam, batuk, nyeri dada pleuritic, obstruksi saluran pernapasan",Tuberkulosis,demam keringat malam batuk nyeri dada pleuritic obstruksi salur napas,tuberkulosis
"nyeri saat berkemih, rasa ingin kencing tapi tidak bisa, urin lebih berbau, nyeri di suprapubic",infeksi Saluran Kemih (Sistitis),nyeri kemih rasa kencing urin lebih bau nyeri suprapubic,infeksi salur kemih sistitis
"demam tidak tinggi, bersin- bersin, infeksi konjungtiva, anorexia",Batuk Rejan (Pertusis),demam tinggi bersin bersin infeksi konjungtiva anorexia,batuk rejan pertusis
"ruam yang gatal terdri dari macula-makula kecil, lesi dan demam lebih dari tujuh hari, pembentukan parut pada ekstremitas",,ruam gatal terdri maculamakula kecil lesi demam lebih tujuh hari bentuk parut ekstremitas,
"tenggorok yang nyeri, merah dan bengkak, peningkatan salivasi, nyeri hebat pada mulut, pembentukan vesikel pada lidah, gingiva, dan mukosa pipi, warna lesi merah",Herpes Simpleks Tipe 1,tenggorok nyeri merah bengkak tingkat salivasi nyeri hebat mulut bentuk vesikel lidah gingiva mukosa pipi warna lesi merah,herpes simpleks tipe
"vesikel yang terlokasilisasi berisi cairan dan ditemukan pada serviks, lania, vulva, kulit perianal, vagina atau batang penis, parastesis di daerah yang terkena, disuria",Herpes Simpleks Tipe 2,vesikel terlokasilisasi isi cair temu serviks lania vulva kulit perianal vagina batang penis parastesis daerah kena disuria,herpes simpleks tipe
"nyeri pada dermatom saraf, priritis, perestesia pada batang tubuh atau lengan, lesi kulit kecil-kecil berwarna merah",Herpes Zoster,nyeri dermatom saraf priritis estesia batang tubuh lengan lesi kulit kecilkecil warna merah,herpes zoster
"penurunan berat badan cepat, batuk kering, demam kambuhan, mudah letih tidak jelas penyebabnya, pembengkakan nodus limfe pada daerah aksila, lipat paha atau leher, diare yang berlangsung lebih dari satu minggu",Infeksi HIV,turun berat badan cepat batuk kering demam kambuh mudah letih jelas sebab bengkak nodus limfe daerah aksila lipat paha leher diare langsung lebih satu minggu,infeksi hiv
"nyeri tenggorokan, limfadenopati serviks, suhu tubuh berfluktuasi dan mencapai puncak pada malam hari, hepatomegaly, stomatitis",Mononukleosis Infeksioma,nyeri tenggorok limfadenopati serviks suhu tubuh fluktuasi capai puncak malam hari hepatomegaly stomatitis,mononukleosis infeksioma
"Mialgia, nyeri telinga ketika mengunyah, pembengkakan pada kelenar parotis, pembengkakan pada kelenjar ludah",Gondongan,mialgia nyeri telinga kunyah bengkak kelenar parotis bengkak kelenjar ludah,gondong
"kongesti nasal, batuk, bersin- bersin, malaise,nyeri tenggorokan, nyeri telinga, dyspnea, demam",Infeksi Virus Syncitial Respiratorius (Penyakit ringan),kongesti nasal batuk bersin bersin malaisenyeri tenggorok nyeri telinga dyspnea demam,infeksi virus syncitial respiratorius sakit ringan
" pernapasan cuping hidung, retraksi pernapasan, sianosis, takipnea","Infeksi Virus Syncitial Respiratorius (Bronkitis, Pneumonia, Bronkitilis)",napas cuping hidung retraksi napas sianosis takipnea,infeksi virus syncitial respiratorius bronkitis pneumonia bronkitilis
"makula kecil-kecil berwarna merah pada palatum mole, ruam makulopapuler agak gatal dimulai di wajah dan menyebar ke seluruh badan, nyeri tenggoroka, batuk",Rubela (campak jerman),makula kecilkecil warna merah palatum mole ruam makulopapuler gatal mulai wajah sebar seluruh badan nyeri tenggoroka batuk,rubela campak jerman
"sakit kepala, nyeri punggung,serangan kejang pada anak, muntah pada anak, nyeri tenggorokan dan batuk",Cacar,sakit kepala nyeri punggungserangan kejang anak muntah anak nyeri tenggorok batuk,cacar
"Anemia,ulkus pada orofaring, penyakit pernapasan ringan serupa dengan salesma berat atau influenza",Histoplasmosis primer akut,anemiaulkus orofaring sakit napas ringan rupa salesma berat influenza,histoplasmosis primer akut
"Demam, menggigil, sakit kepala, mialgia",Malaria (bentuk benigma),demam gigil sakit kepala mialgia,malaria bentuk benigma
"ruam disertai pruritus yang timbul sepintas pada tempat penetrasi serkaria, demam, myalgia, batuk",Skistosomiasis,ruam serta pruritus timbul pintas tempat penetrasi serkaria demam myalgia batuk,skistosomiasis
"Korioretinitis, bercak seperti kapas yang menonjol dan berwarna putih-kuning, gangguan penglihatan",Taksoplasmosis okuler,korioretinitis bercak kapas tonjol warna putihkuning ganggu lihat,taksoplasmosis okuler
"Malaise, sakit kepala, nyeri tenggorokan, ruam makulopapuler",Taksoplasmosis Akuisita,malaise sakit kepala nyeri tenggorok ruam makulopapuler,taksoplasmosis akuisita
"hidrosefalus/mikrosefalus, serangan kejang, ikterus, purpura, ruam",Kongenital,hidrosefalusmikrosefalus serang kejang ikterus purpura ruam,kongenital
"Asimptomatik, inflamasi dan rabas berwarna kuning kehijuauan",Gonore (Perempuan),asimptomatik inflamasi rabas warna kuning kehijuauan,gonore perempuan
"Malaise, panas, sakit kepala, mialgia, menggigil",Antrax inhalasi,malaise panas sakit kepala mialgia gigil,antrax inhalasi
"kenaikan cairan gingival, gusi merah dan bengkak, berdarah ketika gosok gigi atau pemeriksaan pada gigi, konsistensi lunak",Gingivitis,naik cair gingival gusi merah bengkak darah gosok gigi periksa gigi konsistensi lunak,gingivitis
"Mata merah dan benjolan pada kelopak kanan disertai nyeri dan merah, terdapat secret mukopurulen, gatal, berair.",Conjunctivitis,mata merah benjol kelopak kanan serta nyeri merah dapat secret mukopurulen gatal air,conjunctivitis
"telinga mengeluarkan nanah, daun telinga membengkak, merah, panas, terasa nyeri, jika ditekan terasa sakit, pembengkakan daun telinga menjalar ke bagian belakang daun telinga sehingga sangat menonjol",Perikondritis,telinga keluar nanah daun telinga bengkak merah panas asa nyeri tekan asa sakit bengkak daun telinga jalar bagi belakang daun telinga sangat tonjol,perikondritis
"inflamasi eksudatif dan gatal,nyeri telinga, gatal, telinga terasa penuh, suara berdengung, telinga tersumbat, dengan tanda khas terdapat hifa dan spora, sekret.",Otomikosis,inflamasi eksudatif gatalnyeri telinga gatal telinga asa penuh suara dengung telinga sumbat tanda khas dapat hifa spora sekret,otomikosis
" demam, muntah, sakit perut, dehidrasi",Diare virus,demam muntah sakit perut dehidrasi,diare virus
